Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
⁵⁵	⁵⁵	⁵⁵	t	U+2075 U+2075	2271	Chuanqiandian, Southern Guizhou,Chuanqiandian, Central Guizhou,Qiandong, West,Chuanqiandian,Baheng, East,Baheng, West,Luobuohe, Eastern,Luobuohe, Western,Chuanqiandian, Northeast Yunnan	vei⁵⁵, ⁿtuŋ⁵⁵, mi⁵⁵, m̥en⁵⁵, ⁿqə̃⁵⁵
³¹	³¹	³¹	t	U+00b3 U+00b9	1718	Chuanqiandian, Central Guizhou,Baheng, East,Chuanqiandian, Northeast Yunnan,Chuanqiandian,Baheng, West,Luobuohe, Eastern,Luobuohe, Western	ⁿɢwaŋ³¹, ⁿɢwɑŋ³¹, ⁿto³¹, na³¹, ʔlu³¹
³³	³³	³³	t	U+00b3 U+00b3	1300	Luobuohe, Western,Chuanqiandian, Southern Guizhou,Chuanqiandian,Luobuohe, Eastern,Baheng, West,Baheng, East,Qiandong, East,Qiandong, West,Chuanqiandian, Northeast Yunnan	tau³³, qa³³, waŋ³³, waŋ³³, ʔuŋ³³
³⁵	³⁵	³⁵	t	U+00b3 U+2075	1140	Qiandong, East,Chuanqiandian, Southern Guizhou,Chuanqiandian, Northeast Yunnan,Luobuohe, Western,Baheng, West,Baheng, East	tu³⁵, qaŋ³⁵, ho³⁵, zɦaɯ³⁵, heu³⁵
²⁴	²⁴	²⁴	t	U+00b2 U+2074	902	Chuanqiandian,Chuanqiandian, Central Guizhou,Qiandong, East,Luobuohe, Eastern	zəu²⁴, lã²⁴, ljo²⁴, tju²⁴, ʔeu²⁴
⁴⁴	⁴⁴	⁴⁴	t	U+2074 U+2074	771	Chuanqiandian, Central Guizhou,Luobuohe, Eastern,Luobuohe, Western,Baheng, East,Chuanqiandian, Southern Guizhou,Baheng, West,Qiandong, East,Chuanqiandian,Qiandong, West	ljɔ⁴⁴, tou⁴⁴, tue⁴⁴, tei⁴⁴, qei⁴⁴
¹³	¹³	¹³	t	U+00b9 U+00b3	689	Baheng, West,Luobuohe, Western,Chuanqiandian, Northeast Yunnan,Qiandong, East,Chuanqiandian,Chuanqiandian, Southern Guizhou,Qiandong, West,Chuanqiandian, Central Guizhou	tso¹³, ɬa¹³, qou¹³, ho¹³, lje¹³
²/⁰	²/⁰	²/⁰	t	U+00b2 U+002f U+2070	675	Baheng, West,Chuanqiandian, Central Guizhou,Luobuohe, Eastern,Luobuohe, Western	ʔə²/⁰, tə²/⁰, tə²/⁰, ʔa²/⁰, ʔə²/⁰
¹¹	¹¹	¹¹	t	U+00b9 U+00b9	519	Luobuohe, Western,Baheng, East,Baheng, West,Qiandong, West,Chuanqiandian, Southern Guizhou,Chuanqiandian, Northeast Yunnan	ⁿdʑʱau¹¹, teŋ¹¹, po¹¹, ɬoŋ¹¹, pi¹¹
⁵³	⁵³	⁵³	t	U+2075 U+00b3	481	Chuanqiandian, Northeast Yunnan,Baheng, West,Qiandong, West,Baheng, East,Qiandong, East,Chuanqiandian, Southern Guizhou	sou⁵³, ⁿtoŋ⁵³, zo⁵³, lje⁵³, sau⁵³
²²	²²	²²	t	U+00b2 U+00b2	463	Chuanqiandian, Southern Guizhou,Chuanqiandian, Central Guizhou,Qiandong, West,Qiandong, East	ʑi²², me²², ʑin²², ʑə²², vuŋ²²
⁴²	⁴²	⁴²	t	U+2074 U+00b2	409	Baheng, West,Chuanqiandian, Southern Guizhou,Chuanqiandian, Central Guizhou	tæn⁴², ta⁴², ʔõ⁴², je⁴², tɕa⁴²
³/⁰	³/⁰	³/⁰	t	U+00b3 U+002f U+2070	277	Baheng, East,Baheng, West	ʔa³/⁰, la³/⁰, la³/⁰, qa³/⁰, la³/⁰
⁴³	⁴³	⁴³	t	U+2074 U+00b3	265	Chuanqiandian, Central Guizhou,Chuanqiandian	n̥o⁴³, qo⁴³, tɬaŋ⁴³, n̥o⁴³, tʂʰua⁴³
²¹	²¹	²¹	t	U+00b2 U+00b9	258	Chuanqiandian, Southern Guizhou,Chuanqiandian,Qiandong, West	ɭe²¹, teu²¹, to²¹, paŋ²¹, mei²¹
³¹³	³¹³	³¹³	t	U+00b3 U+00b9 U+00b3	168	Baheng, East	tau³¹³, ʑa³¹³, qʰuŋ³¹³, kai³¹³, va³¹³
⁵/⁰	⁵/⁰	⁵/⁰	t	U+2075 U+002f U+2070	165	Luobuohe, Western,Luobuohe, Eastern	qo⁵/⁰, qo⁵/⁰, qo⁵/⁰, qo⁵/⁰, pə⁵/⁰
³²	³²	³²	t	U+00b3 U+00b2	72	Chuanqiandian, Southern Guizhou	pu³², koŋ³², kaŋ³², ʐa³², toŋ³²
²³²	²³²	²³²	t	U+00b2 U+00b3 U+00b2	44	Chuanqiandian, Southern Guizhou	hoŋ²³², saŋ²³², ʐæ²³², ɦo²³², hoŋ²³²
²¹²	²¹²	²¹²	t	U+00b2 U+00b9 U+00b2	13	Qiandong, East	ta²¹², peŋ²¹², pɛ²¹², maŋ²¹², taŋ²¹²
²³¹	²³¹	²³¹	t	U+00b2 U+00b3 U+00b9	1	Baheng, East	nuŋ²³¹
⁵⁴	⁵⁴	⁵⁴	t	U+2075 U+2074	1	Chuanqiandian	plou⁵⁴
⁵²	⁵²	⁵²	t	U+2075 U+00b2	1	Chuanqiandian, Southern Guizhou	tæ⁵²
¹³¹	¹³¹	¹³¹	t	U+00b9 U+00b3 U+00b9	1	Chuanqiandian, Southern Guizhou	nəŋ¹³¹
⁴/⁰	⁴/⁰	⁴/⁰	t	U+2074 U+002f U+2070	1	Baheng, West	ʔa⁴/⁰
aŋ	a ŋ	a ŋ	n c	U+0061 U+0020 U+014b	622	Chuanqiandian, Central Guizhou,Chuanqiandian, Northeast Yunnan,Luobuohe, Western,Qiandong, West,Qiandong, East,Baheng, East,Luobuohe, Eastern,Chuanqiandian, Southern Guizhou,Chuanqiandian,Baheng, West	taŋ³¹, qaŋ³¹, qaŋ³⁵, tɬaŋ⁴³, ʔaŋ⁵⁵
oŋ	o ŋ	o ŋ	n c	U+006f U+0020 U+014b	327	Qiandong, East,Chuanqiandian, Northeast Yunnan,Baheng, East,Chuanqiandian,Baheng, West,Chuanqiandian, Southern Guizhou,Luobuohe, Western	toŋ⁵⁵, ʔoŋ⁴⁴, toŋ⁵⁵, ⁿtoŋ⁵³, toŋ²⁴
uŋ	u ŋ	u ŋ	n c	U+0075 U+0020 U+014b	279	Qiandong, East,Qiandong, West,Baheng, East,Luobuohe, Eastern	ⁿtuŋ⁵⁵, tuŋ⁵⁵, ʔuŋ³³, vuŋ²², nuŋ⁵³
en	e n	e n	n c	U+0065 U+0020 U+006e	230	Baheng, West,Baheng, East,Qiandong, West,Chuanqiandian,Chuanqiandian, Southern Guizhou,Qiandong, East,Luobuohe, Eastern,Luobuohe, Western	m̥en⁵⁵, ʁʷen³¹, ⁿtsen⁵⁵, ʑen²⁴, ʑen²⁴
in	i n	i n	n c	U+0069 U+0020 U+006e	117	Baheng, West,Chuanqiandian,Chuanqiandian, Southern Guizhou,Qiandong, West,Qiandong, East,Luobuohe, Eastern,Luobuohe, Western	ʑin²², nʲin⁵³, ʑin¹³, ⁿbin³¹, ʑin³¹
eŋ	e ŋ	e ŋ	n c	U+0065 U+0020 U+014b	100	Qiandong, East,Baheng, West,Baheng, East	teŋ¹¹, leŋ²⁴, seŋ³¹, leŋ³¹³, peŋ¹³
ɑŋ	ɑ ŋ	ɑ ŋ	n c	U+0251 U+0020 U+014b	82	Luobuohe, Eastern,Luobuohe, Western	tɑŋ³¹, qɑŋ³¹, tɑŋ³⁵, ⁿpɑŋ³⁵, ⁿdzɑŋ⁵⁵
an	a n	a n	n c	U+0061 U+0020 U+006e	73	Baheng, West,Chuanqiandian, Southern Guizhou,Qiandong, East	kan⁴², kan³³, ɕan⁵³, tʰan¹³, van²²
æn	æ n	æ n	n c	U+00e6 U+0020 U+006e	31	Chuanqiandian, Southern Guizhou	tæn⁴², ɭæn⁵³, sæn⁴², næn⁴⁴, hæn⁴²
iŋ	i ŋ	i ŋ	n c	U+0069 U+0020 U+014b	25	Baheng, East,Baheng, West	tɕiŋ³¹, liŋ³³, liŋ³³, tɕiŋ³³, m̥iŋ³¹³
əŋ	ə ŋ	ə ŋ	n c	U+0259 U+0020 U+014b	16	Chuanqiandian, Southern Guizhou	nəŋ¹³¹, məŋ²², məŋ²², məŋ²², nəŋ¹³
